RandomNumber,RSMethod,FeatureSelectionMethod,Model,NumFeatures,TestSetIsolates,TestSetObservedHR,TestSetPredictedHR,Accuracy,Recall,F1,BestParams
0,NoRS,Ftest,Logit,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,C:0.1;penalty:l1;k:1
0,NoRS,Ftest,RF,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,max_depth:4;max_features:None;min_samples_leaf:1;min_samples_split:2;k:1
0,NoRS,Ftest,XGB,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,colsample_bytree:0.5;max_depth:2;min_child_weight:1;learning_rate:0.3;k:1
0,NoRS,DNP,Logit,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,C:0.1;penalty:l1;n_features:1
0,NoRS,DNP,RF,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,max_depth:4;max_features:None;min_samples_leaf:1;min_samples_split:2;n_features:1
0,NoRS,DNP,XGB,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,colsample_bytree:0.5;max_depth:2;min_child_weight:1;learning_rate:0.3;n_features:1
0,RandomOS,Ftest,Logit,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1",0.7,0.6363636363636364,0.6666666666666666,C:0.001;penalty:l2;k:1
0,RandomOS,Ftest,RF,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1",0.7,0.6363636363636364,0.6666666666666666,max_depth:4;max_features:None;min_samples_leaf:1;min_samples_split:2;k:1
0,RandomOS,Ftest,XGB,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1",0.7,0.6363636363636364,0.6666666666666666,colsample_bytree:0.5;max_depth:2;min_child_weight:1;learning_rate:0.3;k:1
0,RandomOS,DNP,Logit,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,C:0.001;penalty:l2;n_features:1
0,RandomOS,DNP,RF,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,max_depth:4;max_features:None;min_samples_leaf:2;min_samples_split:2;n_features:1
0,RandomOS,DNP,XGB,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,colsample_bytree:0.5;max_depth:2;min_child_weight:1;learning_rate:0.3;n_features:1
0,SMOTE,Ftest,Logit,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,C:0.001;penalty:l2;k:1
0,SMOTE,Ftest,RF,1,"MSK2499,MSK2406,MSK2161,E31,E33,MSK1258,UWM1208,E74,GL79,E75,MSK795,UWM1204,E62,GL14,E32,MSK807,E38,E81,E37,E4,MSK1286,UWM1199,GL110,MSK2415,GL134,CDC343,E42,MSK2124,E15,MSK815,CDC337,MSK2524,E14,MSK2384","0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1","0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0",1.0,0.5454545454545454,0.7058823529411764,max_depth:4;max_features:None;min_samples_leaf:1;min_samples_split:2;k:1
