strain,HR_INDEX
E81,0.027469335353914714
E4,0.02776283456225581
E72,0.027812925125313193
GL11,0.028018717928037784
E35,0.02821614996670374
E12,0.028233648986882187
E66,0.028872756193735083
E10,0.029283038557442298
E31,0.029335914656920314
E53,0.029437155895499112
CDC335,0.02956702061248795
E33,0.029754346439138324
UWM1195,0.030191805767175728
E63,0.030397087687866975
2415,0.03078809317738518
CDC340,0.030997249378385217
E73,0.03121749480949143
2422,0.03198844908603693
1090,0.03218276678032317
E19,0.03368400348853906
E64,0.03418924618747288
620,0.03451339791182728
E80,0.03495791077839783
E42,0.03507923736417051
E52,0.035340064790487125
265,0.035340064790487125
E56,0.035340064790487125
E65,0.035340064790487125
E58,0.035340064790487125
E59,0.035340064790487125
E6,0.035340064790487125
E50,0.035340064790487125
281,0.035340064790487125
E17,0.035340064790487125
E49,0.035340064790487125
925,0.035340064790487125
E43,0.035340064790487125
E15,0.035340064790487125
E20,0.035340064790487125
CDC339,0.035340064790487125
CDC338,0.035340064790487125
CDC337,0.035340064790487125
CDC336,0.035340064790487125
E21,0.035340064790487125
923,0.035340064790487125
891,0.035340064790487125
E48,0.035340064790487125
850,0.035340064790487125
844,0.035340064790487125
E22,0.035340064790487125
811,0.035340064790487125
E23,0.035340064790487125
E24,0.035340064790487125
E25,0.035340064790487125
E39,0.035340064790487125
2524,0.035340064790487125
E41,0.035340064790487125
848,0.035340064790487125
250,0.035340064790487125
E18,0.035340064790487125
2124,0.035340064790487125
2123,0.035340064790487125
E79,0.035340064790487125
UWM1197,0.035340064790487125
GL31,0.035340064790487125
1258,0.035340064790487125
E78,0.035340064790487125
2386,0.035340064790487125
1191,0.035340064790487125
E9,0.035340064790487125
E74,0.035340064790487125
1884,0.035340064790487125
2406,0.035340064790487125
2412,0.035340064790487125
1082,0.035340064790487125
1882,0.035340064790487125
UWM1204,0.035340064790487125
UWM1206,0.035340064790487125
1666,0.035340064790487125
1286,0.035340064790487125
2399,0.035340064790487125
1302,0.035340064790487125
1892,0.03560338997821877
E57,0.03713360267519672
E47,0.037253671242429065
E75,0.037777458363581706
E40,0.03950625917445916
E1,0.04149509915117866
E37,0.04159106662211354
E60,0.0416251359344596
E51,0.04243895812893583
247,0.044083630583294564
804,0.044083630583294564
E44,0.04455189463743059
E62,0.046227249488673405
E16,0.04645514090840264
UWM1196,0.04707788693922377
E61,0.04729934603070518
GL14,0.051323232123257956
1891,0.051323232123257956
GL37,0.051323232123257956
1894,0.051323232123257956
2159,0.05365386325476207
1241,0.05438003080522624
814,0.05438003080522624
2234,0.054837528928779244
846,0.05504435820701836
E71,0.057779239458857656
E68,0.05831992656170626
E69,0.05912006038532469
E3,0.06054196956402369
GL28,0.06279772908426295
GL16,0.06279772908426295
E11,0.06708665059819263
249,0.06936262634352064
1700,0.06936920324244833
FM41,0.07003733062422635
1325,0.0711035722687754
E14,0.07352891270298334
815,0.07485889853737071
813,0.07838259495706135
E13,0.07881812228219642
UWM1198,0.08324293762964818
E34,0.08446704302235797
2413,0.08995559195486003
1895,0.09150779780537921
CDC317,0.09519723214608422
E70,0.09882819628405626
E30,0.10298280004412774
E27,0.10310792569018967
GL18,0.11473022622571949
GL29,0.11679647056817777
GL21,0.11923664395535405
E28,0.12036514125706255
2233,0.12391904674872745
CDC342,0.12471100858886874
2529,0.14398684713545484
1324,0.14537099376921292
UWM1208,0.1463417407818508
1298,0.15083282883043503
1398,0.15493073063954665
E32,0.15569191680891314
2425,0.16082027433659518
E54,0.16158249669349845
E38,0.1616313398099034
E5,0.1704566286997593
2426,0.17109453327731283
807,0.17575143147884242
2499,0.17833253028646512
GL84,0.17925751979147897
FM14,0.18416001325965037
E7,0.18540390302880727
E36,0.1941006533493531
800,0.20046165158703366
GL110,0.21663410056368915
E46,0.2200186014667863
GL79,0.22286467948988387
GL87,0.22846543507014316
GL134,0.24011961706077223
490,0.24236789941276826
2448,0.24261672556044633
UWM1199,0.24957600803151714
806,0.2505787088124698
E67,0.25223762353482193
803,0.26188325518580124
2108,0.2666848244892608
2107,0.2742528473037862
UWM1207,0.2840112172732223
E45,0.28975547392848633
2390,0.2949350969726736
2191,0.29754383975216303
810,0.3074060460635313
809,0.31092153176279036
GL62,0.31408670628186297
GL74,0.31408670628186297
2199,0.3154178029622994
2389,0.3182941042828227
2456,0.3196158376213646
CDC343,0.3209871922291704
1399,0.32551737237458467
2384,0.34135608836799936
18,0.3434372448736268
GL85,0.35047722606563325
1394,0.360766276647837
2161,0.360941215792562
2647,0.3665666317436389
17,0.3681049878489484
2648,0.3685123311972538
282,0.37029213812488715
2387,0.37209754449871146
65,0.3788843191176695
2646,0.37924490807075883
2162,0.38196195224127416
264,0.38890955646864356
49,0.39493854349762225
GL1,0.3976121313168193
314,0.3977691923270874
522,0.4027972678755989
485,0.4057821033002811
624,0.40638353062780597
520,0.40657280544367735
544,0.40682877263069406
67,0.4196175167309797
2094,0.42693232697520433
GL122,0.4291443116011108
315,0.4348116350650528
543,0.4371387347983341
34,0.4402440382301376
2057,0.4515709928832279
296,0.45228250469368403
GL23,0.4549041002080989
2649,0.45580906838182345
CDC344,0.4577869791359772
33,0.46229603484269943
1762,0.4704184289366484
795,0.4723591961068603
GL6,0.4726855672657865
1015,0.47437863748095543
812,0.47502944544476156
51,0.4765850218520973
478,0.49383175834021065
1004,0.49802567709498713
5,0.5074007680156151
297,0.5207099520253725
489,0.5284875212730806
2640,0.532927966515944
2,0.5382243319569469
802,0.5398768284565421
799,0.5698429201567292
794,0.5954055620716615
GL105,0.610302012741014
GL15,0.6281454109855569
1,0.6377320732116426
1119,0.6418643082734486
1129,0.6823581543946583
808,0.7702305378052833
